# Time;running vehicles [#];halting [#];avg. speed [m/s];avg. relative speed
0.00;23.22;1.22;10.65;0.77
60.00;54.57;16.25;7.11;0.51
120.00;79.52;26.02;5.16;0.37
180.00;91.22;26.12;4.93;0.35
240.00;96.43;23.55;4.72;0.34
300.00;108.72;40.97;3.79;0.27
360.00;122.73;65.93;3.10;0.22
420.00;124.98;62.03;2.55;0.18
480.00;128.95;58.40;2.93;0.21
540.00;137.32;68.33;2.49;0.18
600.00;138.65;67.17;2.38;0.17
660.00;142.37;67.68;2.93;0.21
720.00;158.42;81.65;2.47;0.18
780.00;161.88;93.22;2.03;0.15
840.00;171.70;95.85;1.98;0.14
900.00;178.42;79.70;2.29;0.16
960.00;186.55;102.00;1.91;0.14
1020.00;181.58;73.17;1.98;0.14
1080.00;182.45;87.03;1.97;0.14
1140.00;184.58;89.78;1.81;0.13
1200.00;182.33;98.65;1.86;0.13
1260.00;182.90;76.67;2.27;0.16
1320.00;180.03;96.52;1.81;0.13
1380.00;179.28;98.68;1.68;0.12
1440.00;175.87;93.50;1.69;0.12
1500.00;175.47;103.73;1.83;0.13
1560.00;174.37;101.33;1.62;0.12
1620.00;172.62;104.40;1.62;0.12
1680.00;167.65;86.25;2.02;0.15
1740.00;171.73;49.35;2.51;0.18
1800.00;189.05;63.45;2.17;0.16
1860.00;197.03;68.27;1.91;0.14
1920.00;212.48;136.20;1.15;0.08
1980.00;226.25;153.77;1.05;0.08
2040.00;209.13;136.97;1.39;0.10
2100.00;209.93;109.42;1.55;0.11
2160.00;219.38;134.35;1.46;0.11
2220.00;210.98;117.48;1.48;0.11
2280.00;225.98;104.60;1.88;0.14
2340.00;226.13;149.65;1.61;0.12
2400.00;223.98;141.45;1.49;0.11
2460.00;243.97;180.33;0.97;0.07
2520.00;245.93;184.78;1.09;0.08
2580.00;239.18;184.17;1.09;0.08
2640.00;223.15;158.22;1.06;0.08
2700.00;220.77;160.73;1.43;0.10
2760.00;208.62;136.87;1.65;0.12
2820.00;199.32;78.10;2.11;0.15
2880.00;203.63;89.13;1.77;0.13
2940.00;210.03;110.42;2.11;0.15
3000.00;208.02;113.80;2.01;0.14
3060.00;211.75;143.00;1.35;0.10
3120.00;204.87;122.40;1.36;0.10
3180.00;203.48;103.02;1.79;0.13
3240.00;205.17;95.88;1.70;0.12
3300.00;203.32;95.18;1.82;0.13
3360.00;197.32;119.30;1.57;0.11
3420.00;197.73;123.97;1.69;0.12
3480.00;203.68;115.23;1.67;0.12
3540.00;205.48;122.12;1.57;0.11
3600.00;193.10;122.62;1.46;0.10
3660.00;181.30;84.57;2.47;0.18
3720.00;178.73;86.03;2.81;0.20
3780.00;172.27;83.82;2.58;0.19
3840.00;170.15;83.73;2.61;0.19
3900.00;171.90;84.87;3.03;0.22
3960.00;176.47;84.32;2.77;0.20
4020.00;178.13;88.43;2.58;0.19
4080.00;173.78;104.98;2.11;0.15
4140.00;155.47;98.55;2.72;0.20
4200.00;130.53;37.50;5.07;0.36
4260.00;114.75;3.65;6.32;0.46
4320.00;118.13;14.25;5.77;0.42
4380.00;108.27;26.88;4.27;0.31
4440.00;111.18;44.50;4.42;0.32
4500.00;107.22;14.90;6.02;0.43
4560.00;104.02;1.82;6.58;0.47
4620.00;107.80;5.67;6.39;0.46
4680.00;111.28;16.32;5.53;0.40
4740.00;108.82;32.50;5.11;0.37
4800.00;98.13;22.80;5.10;0.37
4860.00;88.03;16.12;6.86;0.49
4920.00;77.33;8.82;7.22;0.52
4980.00;64.48;0.08;8.59;0.62
5040.00;34.95;1.02;6.79;0.49
5100.00;16.43;0.00;10.96;0.79
5160.00;3.30;0.00;8.92;0.56