step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,5.427030076410505,0,0.0,0.39067673820917137,0,0.0
10.0,2,6.0,0.5,5.9299354293602775,2,6.0,0.3121877161612423,2,6.0
15.0,6,30.0,3.0,2.1642738472455876,6,30.0,0.042708490991567864,6,30.0
20.0,6,60.0,7.5,2.0095364272828915,6,60.0,1.2635023430100289e-06,6,60.0
25.0,6,90.0,15.0,0.0,6,90.0,0.0,6,90.0
30.0,0,0.0,0.0,3.6899893181628323,0,68.0,0.15922587480529787,0,68.0
35.0,4,8.0,2.0,0.03435740315991449,4,76.0,0.002337609816782955,4,76.0
40.0,8,28.0,2.3333333333333335,1.620842765657032,8,96.0,0.1360558668221002,8,96.0
45.0,7,57.0,4.071428571428571,3.661444115295653,7,125.0,0.23116213976101582,7,125.0
50.0,8,97.0,7.461538461538462,2.7896188410427003,8,165.0,0.12084836274017412,8,165.0
55.0,8,137.0,13.7,1.6122502752154724,8,205.0,0.0,8,205.0
60.0,8,177.0,22.125,0.0,8,245.0,0.0,8,245.0
65.0,4,44.0,4.888888888888889,1.5234361281501974,3,180.0,0.08056724885799042,3,180.0
70.0,3,5.0,0.5,2.8237951762563798,3,186.0,0.029544679620647163,3,186.0
75.0,8,36.0,3.6,0.9056446108485586,8,217.0,0.06408039043727637,8,217.0
80.0,2,13.0,0.8666666666666667,3.394921765335506,2,135.0,0.2486676692638345,2,135.0
85.0,3,6.0,0.375,4.5230902102484745,3,142.0,0.19918121795627472,3,142.0
90.0,8,38.0,2.923076923076923,3.0615978668937753,8,174.0,0.00014622991891002286,8,174.0
95.0,2,14.0,1.4,3.2218003439813323,2,121.0,0.08969392900090235,2,121.0
100.0,4,8.0,1.0,0.6949007077195175,4,130.0,0.047487189359089604,4,130.0
105.0,8,43.0,5.375,0.0010088053058013903,8,165.0,6.666329987860828e-05,8,165.0
110.0,2,16.0,1.4545454545454546,1.9340507797681348,2,98.0,0.11679602737514415,2,98.0
115.0,4,7.0,0.4375,4.020453265283749,4,106.0,0.21239494898375816,4,106.0
120.0,8,39.0,2.7857142857142856,4.060313052059129,8,138.0,0.13680087396972704,8,138.0
125.0,6,18.0,1.5,2.1758074861692625,5,101.0,0.06361310862037516,5,101.0
130.0,3,5.0,0.4166666666666667,3.006650010342511,3,105.0,0.04166213032542334,3,105.0
135.0,8,35.0,3.888888888888889,1.1527533744048024,8,135.0,0.001067532597824006,8,135.0
140.0,2,14.0,1.5555555555555556,2.6693934022761354,2,95.0,0.10108093144923942,2,95.0
145.0,4,4.0,0.36363636363636365,2.4914016453158845,3,34.0,0.12180499801036655,3,34.0
150.0,2,3.0,0.2,3.76667841811358,2,42.0,0.2053215170650171,2,42.0
155.0,7,29.0,2.0714285714285716,4.368614826954535,7,68.0,0.22359016993542039,7,68.0
160.0,2,11.0,0.9166666666666666,2.7539038347801807,2,52.0,0.10876797422560407,2,52.0
165.0,2,8.0,0.7272727272727273,5.768461773260232,2,22.0,0.20362073036635495,2,22.0
170.0,4,7.0,0.6363636363636364,3.596770266698804,3,20.0,0.06112512775143099,3,20.0
175.0,7,34.0,4.25,1.237119710297156,7,48.0,0.0003532785843910878,7,48.0
180.0,7,69.0,9.857142857142858,0.0,7,83.0,0.0,7,83.0
185.0,7,104.0,8.666666666666666,1.6247139691184476,7,118.0,0.11621669711553073,7,118.0
190.0,2,23.0,1.5333333333333334,3.464603475858212,2,94.0,0.2244828250114856,2,94.0
195.0,5,12.0,0.75,3.881011409773235,5,35.0,0.12818410984820466,5,35.0
200.0,3,4.0,0.26666666666666666,2.282810686665847,3,42.0,0.04431298230655827,3,42.0
205.0,6,28.0,2.1538461538461537,4.0690056942996655,6,54.0,0.03482295433305788,6,54.0
210.0,7,63.0,7.0,1.9659451681612188,7,86.0,0.0,7,86.0
215.0,1,10.0,1.4285714285714286,2.928583491386419,1,59.0,0.11426339757234545,1,59.0
220.0,6,6.0,0.46153846153846156,2.5158715057894123,6,65.0,0.11876766470877216,6,65.0
225.0,8,36.0,2.5714285714285716,4.030761383330784,8,95.0,0.1733716973442109,8,95.0
230.0,8,76.0,6.333333333333333,2.3913607990971806,8,135.0,0.12637906357742262,8,135.0
235.0,4,25.0,2.272727272727273,2.8164226873087355,4,110.0,0.08430932077477363,4,110.0
240.0,3,6.0,0.6,2.2398717861758706,3,116.0,0.033617421884466016,3,116.0
245.0,8,39.0,4.875,0.003497558925608923,8,149.0,0.0002650582601676434,8,149.0
250.0,8,79.0,9.875,3.5828944092953415e-05,8,189.0,2.7985850662512978e-06,8,189.0
255.0,2,25.0,2.272727272727273,1.9692005424412669,2,138.0,0.12417159740135937,2,138.0
260.0,3,8.0,0.5,5.003047190397464,2,83.0,0.28973096534577053,2,83.0
265.0,4,7.0,0.4666666666666667,2.5671564875475927,4,99.0,0.12895431671929422,4,99.0
270.0,7,32.0,2.2857142857142856,3.2428433042183284,7,127.0,0.023933000576546577,7,127.0
275.0,8,72.0,7.2,1.625623419358072,8,167.0,3.8030912535191723e-06,8,167.0
280.0,3,24.0,2.6666666666666665,1.3553168155866215,2,125.0,0.06723696140083665,2,125.0
285.0,4,12.0,1.3333333333333333,2.411847640677646,3,61.0,0.09890651946755057,3,61.0
290.0,2,2.0,0.16666666666666666,2.5455958661422953,2,72.0,0.07869318979722008,2,72.0
295.0,10,30.0,2.142857142857143,2.501554951407759,10,101.0,0.16331803447782647,10,101.0
300.0,8,70.0,5.0,4.705960401523854,8,141.0,0.15130129467160405,8,141.0
305.0,3,23.0,1.9166666666666667,2.3300024846657563,3,111.0,0.06214929655276286,3,111.0
310.0,2,4.0,0.36363636363636365,2.3117479056826507,2,115.0,0.04393433019850034,2,115.0
315.0,8,32.0,3.5555555555555554,1.0856929122532013,8,143.0,0.0008102399332799152,8,143.0
320.0,3,13.0,1.4444444444444444,2.074599873392712,3,110.0,0.07336084139691305,3,110.0
325.0,4,1.0,0.08333333333333333,2.134700331633386,3,55.0,0.07190979032749431,3,55.0
330.0,3,5.0,0.35714285714285715,3.9582687769008706,3,60.0,0.19730118095176233,3,60.0
335.0,3,5.0,0.3333333333333333,3.143501701093741,3,32.0,0.18030083311388745,3,32.0
340.0,3,8.0,0.5714285714285714,1.7700018616990538,3,42.0,0.07103355291000713,3,42.0
345.0,8,40.0,2.857142857142857,3.632912500039106,8,72.0,0.00036708631845904513,8,72.0
350.0,2,15.0,1.5,2.5296069710245357,2,60.0,0.06921650171297618,2,60.0
355.0,2,3.0,0.3333333333333333,2.996766075445553,1,37.0,0.1261555456653888,1,37.0
360.0,3,5.0,0.5555555555555556,2.7355507369994627,3,45.0,0.012871286093975573,3,45.0
365.0,1,3.0,0.23076923076923078,3.175843143992708,1,35.0,0.18781154468929256,1,35.0
370.0,3,6.0,0.4,5.169894907327271,3,41.0,0.2472235546812088,3,41.0
375.0,4,9.0,0.6428571428571429,2.658649311180464,4,34.0,0.09334001036876961,4,34.0
380.0,4,7.0,0.5833333333333334,1.3008241912971004,3,41.0,0.07308368993024925,3,41.0
385.0,8,37.0,3.3636363636363638,1.4344897956327374,8,69.0,0.0005946469740755735,8,69.0
390.0,3,15.0,1.6666666666666667,2.741905684016352,2,63.0,0.08312218923633669,2,63.0
395.0,3,6.0,0.6666666666666666,2.7755843832683995,3,69.0,0.026702108807550754,3,69.0
400.0,4,4.0,0.3076923076923077,2.687475589658062,4,54.0,0.14971167601760024,4,54.0
405.0,1,0.0,0.0,5.844537923291556,1,4.0,0.3652509726749717,1,4.0
410.0,4,4.0,0.26666666666666666,2.590662575295966,4,8.0,0.10058546309258518,4,8.0
415.0,6,28.0,2.1538461538461537,3.5361749082828067,6,32.0,0.04135862457131083,6,32.0
420.0,2,8.0,0.8888888888888888,3.951034229882819,2,37.0,0.13470252220346043,2,37.0
425.0,3,7.0,1.0,2.7886595152055236,3,41.0,0.006982074524733315,3,41.0
430.0,5,30.0,6.0,0.0008893472526415279,5,64.0,6.384175518784513e-05,5,64.0
435.0,6,56.0,6.222222222222222,1.1425592747130808,6,90.0,0.07756425286838892,6,90.0
440.0,7,88.0,6.285714285714286,3.0739659033867537,7,122.0,0.2210423909260679,7,122.0
445.0,8,127.0,9.071428571428571,3.9437045490298877,8,161.0,0.14960994604912162,8,161.0
450.0,4,27.0,2.25,1.9450483800290064,4,125.0,0.04686983308836265,4,125.0
455.0,4,6.0,0.5454545454545454,1.8372623030385584,3,128.0,0.029363365528348978,3,128.0
460.0,3,4.0,0.4444444444444444,2.853935029411004,2,78.0,0.09762269390271283,2,78.0
465.0,2,2.0,0.2222222222222222,2.8870625721838477,2,80.0,0.03316350656402036,2,80.0
470.0,7,26.0,2.6,0.6423645436471974,7,104.0,0.04654578053705223,7,104.0
475.0,10,62.0,4.428571428571429,2.542354222542454,10,140.0,0.18135279834984486,10,140.0
480.0,4,19.0,1.2666666666666666,2.701044560135141,4,99.0,0.17478791775172733,4,99.0
485.0,3,7.0,0.4666666666666667,2.4270412117518703,3,110.0,0.07404796542670802,3,110.0
490.0,6,13.0,0.8666666666666667,3.43183183055202,6,75.0,0.06929416526937149,6,75.0
495.0,5,10.0,0.8333333333333334,1.2721687357569322,4,82.0,0.07770541917224814,4,82.0
500.0,9,43.0,3.909090909090909,1.320205334473634,8,106.0,0.0004532204417671619,8,106.0
505.0,6,15.0,1.25,1.2346853876881434,5,79.0,0.05041026150665738,5,79.0
510.0,4,7.0,0.5,3.4104928301815045,3,60.0,0.22303502833260438,3,60.0
515.0,2,3.0,0.1875,4.9979925508854794,2,70.0,0.23332379384571902,2,70.0
520.0,8,31.0,2.3846153846153846,2.9985457929698347,8,99.0,0.0009368993449069072,8,99.0
525.0,2,12.0,1.2,2.197100803620248,2,78.0,0.058196800634177634,2,78.0
530.0,2,1.0,0.1111111111111111,3.2637385061508475,1,23.0,0.1926282630305949,1,23.0
535.0,4,4.0,0.4444444444444444,1.3679803309162246,3,20.0,0.033244156117493324,3,20.0
540.0,4,20.0,2.5,4.272799266514736,3,22.0,0.11655747161914734,3,22.0
545.0,2,2.0,0.15384615384615385,4.1088110792152674,2,33.0,0.1975741624512211,2,33.0
550.0,1,1.0,0.06666666666666667,3.3725843833731632,1,19.0,0.22122972307363503,1,19.0
555.0,4,8.0,0.5714285714285714,2.5729602292936744,4,29.0,0.07904997062339057,4,29.0
560.0,7,36.0,2.769230769230769,3.987266882534387,7,56.0,0.00035079258359439075,7,56.0
565.0,7,71.0,8.875,1.0421673976736845,7,91.0,0.0,7,91.0
570.0,1,12.0,1.5,3.1541860887076405,1,74.0,0.15201556403852173,1,74.0
575.0,4,9.0,1.2857142857142858,1.9889271540447668,4,84.0,0.01936015764052448,4,84.0
580.0,9,34.0,2.8333333333333335,1.2416453279781192,9,109.0,0.0934469328226461,9,109.0
585.0,8,70.0,5.0,3.646304314196503,8,145.0,0.14841402908994122,8,145.0
590.0,2,18.0,1.2857142857142858,3.1196299237801908,2,108.0,0.16451074060767845,2,108.0
595.0,5,9.0,0.6428571428571429,2.971486499988667,4,118.0,0.07965564208658076,4,118.0
600.0,4,10.0,0.8333333333333334,2.72874697299142,4,81.0,0.08541936746101979,4,81.0
605.0,2,14.0,1.2727272727272727,4.541431066876524,2,24.0,0.17720785474659886,2,24.0
610.0,2,2.0,0.25,3.3867164602438025,1,9.0,0.04308866592159642,1,9.0
615.0,4,14.0,1.5555555555555556,2.8569642959678836,4,22.0,0.15817651397362226,4,22.0
620.0,6,37.0,2.642857142857143,3.1883200169691057,6,45.0,0.25651760302638965,6,45.0
625.0,8,74.0,5.285714285714286,3.872077995693352,8,82.0,0.15979663903688057,8,82.0
630.0,4,23.0,1.9166666666666667,2.7855790654061328,4,71.0,0.08115933158054162,4,71.0
635.0,3,13.0,1.1818181818181819,4.858676947224179,3,34.0,0.18829842869713898,3,34.0
640.0,3,4.0,0.5,3.627750771320448,2,24.0,0.05779660015625254,2,24.0
645.0,3,17.0,3.4,1.8853251816334988,3,38.0,0.0018062788078009305,3,38.0
650.0,0,0.0,0.0,3.117271617681334,0,12.0,0.1427779482578899,0,12.0
655.0,4,1.0,0.07142857142857142,4.007458100750595,4,13.0,0.2547292984932414,4,13.0
660.0,6,19.0,1.4615384615384615,4.766453921868467,6,31.0,0.1731275010462688,6,31.0
665.0,7,53.0,5.3,1.0953797833621237,7,65.0,1.2391388431116287e-05,7,65.0
670.0,1,12.0,1.3333333333333333,3.1301900463155428,1,57.0,0.0939197003414029,1,57.0
675.0,1,3.0,0.5,2.6078403257201352,0,33.0,0.16831795887694817,0,33.0
680.0,2,6.0,1.0,3.775114590496982,2,42.0,0.02375147557837172,2,42.0
685.0,4,0.0,0.0,2.1133203799182008,4,18.0,0.07062144176334377,4,18.0
690.0,1,3.0,0.3,3.947929887522718,1,21.0,0.28121608199483406,1,21.0
695.0,6,21.0,1.6153846153846154,5.382762216982455,6,39.0,0.28168755212816826,6,39.0
700.0,7,56.0,5.090909090909091,2.0484493358176485,7,74.0,1.991458928418279e-05,7,74.0
705.0,2,12.0,1.2,3.464752260978604,2,58.0,0.08689041586316894,2,58.0
710.0,2,5.0,0.625,2.9195896048805126,2,64.0,0.020529623815817438,2,64.0
715.0,6,31.0,5.166666666666667,0.00013050053610128327,6,90.0,8.901716545879551e-06,6,90.0
720.0,6,61.0,10.166666666666666,0.0,6,120.0,0.0,6,120.0
725.0,2,14.0,1.0769230769230769,2.091536921461581,1,85.0,0.17970976127564883,1,85.0
730.0,3,2.0,0.125,4.419516053016923,3,90.0,0.22767189713646507,3,90.0
735.0,3,5.0,0.3333333333333333,3.627803727833218,3,50.0,0.11118957251276834,3,50.0
740.0,4,9.0,0.75,2.3260340041490855,3,59.0,0.06586827137152412,3,59.0
745.0,7,39.0,3.9,1.8525106811504322,7,86.0,0.00014611115767635148,7,86.0
750.0,1,8.0,0.8888888888888888,3.2387008914870465,1,62.0,0.07511483516693702,1,62.0
755.0,1,1.0,0.14285714285714285,2.8353447004004013,0,28.0,0.11324098255959895,0,28.0
760.0,6,11.0,0.8461538461538461,3.041686005421584,5,25.0,0.15535562972421507,5,25.0
765.0,2,4.0,0.2857142857142857,4.4947452924406,2,38.0,0.20549658689150674,2,38.0
770.0,1,1.0,0.07142857142857142,4.121598531958424,1,27.0,0.1717153265223219,1,27.0
775.0,4,6.0,0.6,1.507406484247508,3,33.0,0.0834898083784708,3,33.0
780.0,6,31.0,3.4444444444444446,2.045087606360353,6,59.0,0.00023627557172478206,6,59.0
785.0,2,8.0,1.0,2.965787355710683,1,43.0,0.1082109537930471,1,43.0
790.0,2,4.0,0.5714285714285714,3.183913297822116,2,47.0,0.02812706997651465,2,47.0
795.0,5,26.0,3.25,1.5596634236768259,5,69.0,0.11450183076654319,5,69.0
800.0,5,51.0,3.642857142857143,3.3912855998305935,5,94.0,0.13011056485135722,5,94.0
805.0,8,83.0,5.928571428571429,3.9843047568483803,8,126.0,0.16968676223148244,8,126.0
810.0,4,26.0,2.1666666666666665,2.1013474283745293,3,95.0,0.0893543906964434,3,95.0
815.0,4,8.0,0.7272727272727273,2.5793423206000052,3,102.0,0.0277544539799326,3,102.0
820.0,7,36.0,4.5,1.3341277534368676,7,131.0,0.0003910407294428695,7,131.0
825.0,1,7.0,0.875,2.6628709862903985,1,97.0,0.11301227915792617,1,97.0
830.0,1,0.0,0.0,2.491048525927451,1,22.0,0.14042680381484665,1,22.0
835.0,4,2.0,0.125,3.8230894371770536,4,24.0,0.22282506114480533,4,24.0
840.0,8,26.0,1.8571428571428572,4.0474456825642715,8,48.0,0.13787811783477386,8,48.0
845.0,2,12.0,1.0,2.1348626953320142,2,38.0,0.0587545694468079,2,38.0
850.0,3,10.0,0.9090909090909091,4.8536096133723285,3,23.0,0.175187090351691,3,23.0
855.0,2,2.0,0.25,3.5664134806168724,1,14.0,0.03799944763454406,1,14.0
860.0,0,0.0,0.0,5.529523323247608,0,3.0,0.16590282500715614,0,3.0
865.0,6,4.0,0.6666666666666666,0.009218680112444007,6,7.0,0.0005876060546679591,6,7.0
870.0,2,14.0,1.4,4.011533852506937,2,17.0,0.3144602708555259,2,17.0
875.0,6,36.0,2.769230769230769,4.667383694637952,6,39.0,0.2595821301760851,6,39.0
880.0,2,11.0,1.0,1.9996491088175246,2,42.0,0.08505617090888301,2,42.0
885.0,3,6.0,0.6,2.4265563099958163,2,47.0,0.06312584339365973,2,47.0
890.0,6,31.0,3.875,1.67787129243216,6,70.0,0.0002595544255570891,6,70.0
895.0,1,8.0,1.3333333333333333,1.9627665726473655,1,50.0,0.10529194840177808,1,50.0
900.0,2,5.0,0.8333333333333334,3.986837850714469,2,55.0,0.019894207265558364,2,55.0
905.0,0,0.0,0.0,4.106288744605842,0,30.0,0.2729875522281403,0,30.0
910.0,2,3.0,0.21428571428571427,5.756693938309238,2,33.0,0.2871174244994981,2,33.0
915.0,3,4.0,0.3333333333333333,2.056857484571382,3,24.0,0.09803555807490333,3,24.0
920.0,5,9.0,0.8181818181818182,2.2372351340923444,4,33.0,0.06794037813509055,4,33.0
925.0,7,36.0,4.0,1.4494303129525594,6,57.0,8.090326945571361e-05,6,57.0
930.0,1,7.0,1.0,2.4141636762163627,1,40.0,0.08667911380584975,1,40.0
935.0,2,5.0,0.8333333333333334,2.6757247448261103,1,31.0,0.01391011945888604,1,31.0
940.0,4,1.0,0.08333333333333333,3.6435868151786104,4,37.0,0.1431503685790189,4,37.0
945.0,4,14.0,1.0769230769230769,4.463381872341627,4,50.0,0.203774306762476,4,50.0
950.0,7,45.0,3.75,3.3650395406304323,7,81.0,0.1476654582603932,7,81.0
955.0,7,80.0,8.88888888888889,1.141530782594975,7,116.0,1.1710311027800102e-06,7,116.0
960.0,1,16.0,1.7777777777777777,3.8373442883784685,1,95.0,0.1151405726106172,1,95.0
965.0,2,3.0,0.42857142857142855,2.916677935835968,1,27.0,0.1787181177541952,1,27.0
970.0,3,7.0,1.1666666666666667,2.010216663921144,2,19.0,0.02744494643608893,2,19.0
975.0,1,1.0,0.1,4.9199576377943215,1,28.0,0.20463789232420404,1,28.0
980.0,4,17.0,1.3076923076923077,3.8249319299213735,4,44.0,0.29206725912824083,4,44.0
985.0,6,45.0,3.4615384615384617,4.352912761196311,6,72.0,0.18798616092137677,6,72.0
990.0,3,15.0,1.3636363636363635,2.7174472969445924,3,58.0,0.06871151211439269,3,58.0
995.0,5,7.0,0.875,0.9347284102393946,4,62.0,0.030560004232616247,4,62.0
1000.0,2,4.0,0.5,2.8622083833074865,2,48.0,0.1418608876880477,2,48.0
1005.0,3,9.0,1.2857142857142858,3.2677037628500822,3,58.0,0.015379419393753114,3,58.0
1010.0,5,32.0,4.0,0.7846237654382711,5,82.0,0.054106095814982,5,82.0
1015.0,4,8.0,0.5333333333333333,3.4395727079925233,4,50.0,0.2569630247995794,4,50.0
1020.0,5,10.0,0.6666666666666666,3.7483392303787126,4,57.0,0.1763302850666289,4,57.0
1025.0,2,4.0,0.3076923076923077,3.4877544379772023,2,71.0,0.09535418850321153,2,71.0
1030.0,5,25.0,2.272727272727273,4.8295805183729845,5,89.0,0.0011480550356722243,5,89.0
1035.0,5,50.0,8.333333333333334,1.3202190623001733,5,114.0,9.061082667457522e-06,5,114.0
1040.0,1,12.0,2.0,2.5367859322850688,1,73.0,0.07314922687075873,1,73.0
